Designator,Footprint,Quantity,Value,LCSC Part #
C101,0603,1,10uF,C19702
"C102, C103, C115, C116",0603,4,1uF,C15849
"C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C117, C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C223, C224, C225, C226, C227, C228, C229, C230, C231, C232, C233",0603,45,100nF,C14663
"C118, C119",0603,2,27pF,C107045
"D201, D202, D203, D204, D205, D206, D207, D208, D209, D210, D211, D212, D213, D214, D215, D216, D217, D218, D219, D220, D221, D222, D223, D224, D225, D226, D227, D228, D229, D230, D231, D232, D233",LED_SK6812MINI-E_3.2x2.8mm,33,SK6812MINI-E,C5149201
"D301, D302, D303, D304, D305, D306, D307, D308, D309, D310, D311, D312, D313, D314, D315, D316, D317, D318, D319, D320, D321, D322, D323, D324, D325, D326, D327, D328, D329, D330, D331, D332, D333",D_SOD-123,33,1N4148,C444720
J101,PinHeader_1x05_P2.54mm_Vertical,1,SWD,DNP
J102,USB_C_Receptacle_GCT_USB4105-GF-A-060,1,USB-C,C2927038
J103,PinHeader_1x04_P2.54mm_Vertical,1,UART,DNP
"R101, R102",0603,2,5.1k,C23186
R103,0603,1,1k,DNP
R104,0603,1,330,C23138
"R105, R106",0603,2,27,C25190
R107,0603,1,10k,C25804
R108,0603,1,1k,C21190
"SW101, SW102",SW-PUSH-6x3.5mm_CK-PTS636SL43x_HandSolder,2,PTS636 SL43 SMTR LFS,DNP
"SW301, SW302, SW303, SW304, SW305, SW306, SW307, SW308, SW309, SW310, SW311, SW312, SW313, SW314, SW315, SW316, SW317, SW319, SW320, SW321, SW322, SW323, SW324, SW325, SW326, SW327, SW328, SW330, SW331, SW333",SW_Hotswap_Kailh_MX_1.00u,30,PG1511,C5156480
"SW318, SW329",SW_Hotswap_Kailh_MX_2.00u_90deg,2,PG1511,C5156480
SW332,SW_Hotswap_Kailh_MX_2.00u,1,PG1511,C5156480
U101,SOT-353_SC-70-5,1,3.3V,C431682
U102,SOT-143,1,CM1213A−02Sx,C5359995
U103,SOT-363_SC-70-6,1,SN74LVC1T45DCK,C9382
U104,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U105,SOIC-8_3.9x4.9mm_P1.27mm,1,W25Q40CLSNIG,C2641149
Y101,Crystal_SMD_HC49-SD,1,ABLS-12.000MHZ-B4-T,C596818
